rental_id	return_date
4863	2005-07-11 21:29:15
11433	2005-08-11 21:35:10
14714	2005-08-30 22:26:43
972	2005-06-06 00:36:07
2117	2005-06-23 17:45:00
4187	2005-07-11 06:25:31
9449	2005-08-06 02:09:34
15453	2005-08-30 20:08:01
10126	2005-08-03 23:59:07
15421	2005-08-25 18:58:37
10883	2005-08-03 00:02:19
14624	2005-08-23 21:09:42
361	2005-05-31 08:01:28
3201	2005-06-28 03:42:26
4390	2005-07-09 00:04:06
7168	2005-08-01 04:08:11
14098	NULL
1210	2005-06-20 01:41:51
5766	2005-07-16 13:03:31
8510	2005-08-05 05:30:38
14798	2005-08-27 02:18:08
10141	2005-08-06 16:59:29
12651	2005-08-22 22:01:16
